Algorithm,Top-N,MoviesPerPage,ThresholdRating,TotalIDs,ParameterTest,ParameterValue,OtherParameters,TotalTime/s,MeanTime/s,MAE,RMSE,Coverage,Diversity,Novelty,LOOCV_HR,Validation_HR,Cumulative_HR,MeanReciprocal_HR,ActualRating_HR
Item-Based CF,10,5,3,10,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",1.0939278,0.10939278,0.590087261,0.646977014,0.306961905,0.344359016,0.076680952,,0.21,0.21,0.175,"{2.0: 0.000819672131147541, 3.0: 0.008804554079696394, 3.5: 0.002636942675159236, 4.0: 0.011769126379504466, 4.5: 0.0013513513513513514, 5.0: 0.001639344262295082}"
User-Based CF,10,5,3,10,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",13.6058333,1.36058333,0.349836192,0.391244603,0.221847619,0.438315094,0.004450476,,0.17,0.17,0.12,"{3.5: 0.0029213955443463642, 4.0: 0.007528613898179116, 4.5: 0.007092502338403977, 5.0: 0.011098281460362716}"
Item-Based KNN,10,5,3,10,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",60.6450033,6.06450033,0.67709092,0.679858733,0.111914286,0.179892745,0.003070476,,0.1,0.1,0.075,"{3.0: 0.0032903643050143315, 4.0: 0.0010526315789473684, 4.5: 0.002489649161037263, 5.0: 0.006410945693448256}"
User-Based KNN,10,5,3,10,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",6.6822552,0.66822552,0.753723176,0.803359557,0.122866667,0.454609326,0.009551429,,0.26,0.22,0.225,"{1.5: 0.0006134969325153375, 2.0: 0.002127659574468085, 2.5: 0.001226993865030675, 3.0: 0.0024390243902439024, 3.5: 0.000847457627118644, 4.0: 0.010752700696216652, 4.5: 0.0106526069971107, 5.0: 0.005067990832696715}"
Random Control,10,5,3,10,,,{'randomRatings': True},0.1628453,0.01628453,0,0,1,0.000530592,0.543995238,,0,0,0,{}
Item-Based CF,10,5,3,10,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",1.1044939,0.11044939,0.564364167,0.671682974,0.280952381,0.343809842,0.071126667,0,,0.22,0.17,"{2.0: 0.002173913043478261, 3.0: 0.006535177595628415, 3.5: 0.001694915254237288, 4.0: 0.0096875, 4.5: 0.005143191116306253, 5.0: 0.017351826382006736}"
User-Based CF,10,5,3,10,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",13.7518513,1.37518513,0.365606432,0.399531857,0.216019048,0.385336015,0.007110476,0,,0.15,0.12,"{3.0: 0.002000788488074118, 3.5: 0.0011235955056179774, 4.0: 0.004146051712089448, 4.5: 0.007936313884374092, 5.0: 0.0028039215686274507}"
Item-Based KNN,10,5,3,10,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",63.2173443,6.32173443,0.404854164,0.404854164,0.147590476,0.14193538,0.001881905,0,,0.09,0.07,"{3.0: 0.00196078431372549, 4.0: 0.004290932799504613, 4.5: 0.003822574828705373, 5.0: 0.0007751937984496124}"
User-Based KNN,10,5,3,10,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",6.8255807,0.68255807,1.038975462,1.0856156,0.150380952,0.355712443,0.007172381,0,,0.23,0.175,"{1.0: 0.0011627906976744186, 1.5: 0.002917176662586699, 3.0: 0.0034002192982456143, 3.5: 0.0016458333333333336, 4.0: 0.004899994715704925, 4.5: 0.006582594740489478, 5.0: 0.009370861277349412}"
Random Control,10,5,3,10,,,{'randomRatings': True},0.1594901,0.01594901,0,0,1,0.000484545,0.490019048,0,,0,0,{}
Item-Based CF,10,5,3,10,predict,rand,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",1.2255128,0.12255128,1.851563273,2.132114862,0.301228571,0.355656705,0.080890476,,0.28,0.09,0.19,"{1.0: 0.004166666666666667, 2.5: 0.0016129032258064516, 3.0: 0.00035714285714285714, 3.5: 0.006532366459195726, 4.0: 0.009638948375296373, 4.5: 0.0017745922943942748, 5.0: 0.006972016041239065}"
User-Based CF,10,5,3,10,predict,rand,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",13.6554858,1.36554858,0.840566828,0.908512756,0.237980952,0.368817345,0.00418,,0.13,0.03,0.1,"{3.0: 0.0017543859649122805, 3.5: 0.003754385964912281, 4.0: 0.005729645716232327, 4.5: 0.007637881110543349}"
